# k[hMpc-1] 2.5perc 16perc 50perc 84perc 97.5perc
1.000000000000000021e-02 1.000185532538206079e+00 1.000200316299649339e+00 1.000225648462141681e+00 1.000274778306135648e+00 1.000330909838193616e+00
1.031721933452994094e-02 1.000130473519427188e+00 1.000141934581195269e+00 1.000161101418818310e+00 1.000199082684333440e+00 1.000244686411395634e+00
1.064450147967984858e-02 1.000075452643122809e+00 1.000083491496115862e+00 1.000096726217292176e+00 1.000123441725833118e+00 1.000158462984597652e+00
1.098216564725854917e-02 1.000020679661635770e+00 1.000025172777398552e+00 1.000032889464708141e+00 1.000049104127999300e+00 1.000072366927611256e+00
1.133054117509064984e-02 9.999627442818569412e-01 9.999648778802869842e-01 9.999687221155608707e-01 9.999769351703897691e-01 9.999867273728427763e-01
1.168996784823328298e-02 9.998953151793111838e-01 9.998974480675220100e-01 9.999021510807761803e-01 9.999106615577042501e-01 9.999247572829793596e-01
1.206079623038257970e-02 9.998122572986374301e-01 9.998221022742815878e-01 9.998372847583452128e-01 9.998537211268609948e-01 9.998643565077180995e-01
1.244338800579290402e-02 9.998942589606163445e-01 9.999012971627631030e-01 9.999138987790689992e-01 9.999263737554253684e-01 9.999370608805430161e-01
1.283811633204245267e-02 9.999914769045274987e-01 9.999968695814436259e-01 1.000004906324417409e+00 1.000013730249597721e+00 1.000022762092521500e+00
1.324536620398930609e-02 1.000080910283543512e+00 1.000089509491282058e+00 1.000096336087796800e+00 1.000103214994806811e+00 1.000108240256854630e+00
1.366553482927279108e-02 1.000165583536087865e+00 1.000178846410355815e+00 1.000188032708771324e+00 1.000195747280651970e+00 1.000204680553948622e+00
1.409903201572656334e-02 1.000162229139863745e+00 1.000177072896324626e+00 1.000185843776330241e+00 1.000192444327983710e+00 1.000199338436081442e+00
1.454628057108107303e-02 1.000143843146719780e+00 1.000158356484194266e+00 1.000166614272538279e+00 1.000171600593489751e+00 1.000175454131142061e+00
1.500771671534548851e-02 1.000125457153575592e+00 1.000139903166374467e+00 1.000146645055865147e+00 1.000151171696260333e+00 1.000154583709774947e+00
1.548379050627107269e-02 1.000107071160431627e+00 1.000121206029562337e+00 1.000127117076637262e+00 1.000130889797064215e+00 1.000135096986616734e+00
1.597496627831110350e-02 1.000039892398129515e+00 1.000049394633882649e+00 1.000054229100300507e+00 1.000059587164203290e+00 1.000065520103303518e+00
1.648172309550552384e-02 9.999562512877602227e-01 9.999615806765480563e-01 9.999674688494377683e-01 9.999750500041832968e-01 9.999902656361844278e-01
1.700455521873182538e-02 9.998693584391045164e-01 9.998737994412543184e-01 9.998806116334254535e-01 9.998906135115056548e-01 9.999187351509463140e-01
1.754397258777820601e-02 9.997790017526493322e-01 9.997858592963134727e-01 9.997936664532891538e-01 9.998072200764867024e-01 9.998445956337105311e-01
1.810050131870885939e-02 9.997614738299358539e-01 9.997665682851957225e-01 9.997748846032212811e-01 9.997910597185589721e-01 9.998270181416247793e-01
1.867468421700677408e-02 9.997692164683621430e-01 9.997732706831355953e-01 9.997829020620149221e-01 9.998004516901569660e-01 9.998309259026768592e-01
1.926708130699435195e-02 9.997730386923697754e-01 9.997786526667687967e-01 9.997924400861767369e-01 9.998101771147726025e-01 9.998342013050933730e-01
1.987827037804825239e-02 9.997741283631799147e-01 9.997855720250728995e-01 9.998017536211267764e-01 9.998201414046580249e-01 9.998368126304428838e-01
2.050884754814132072e-02 9.997899558499742101e-01 9.998052247260832415e-01 9.998241636444422653e-01 9.998434957715915949e-01 9.998542323685616351e-01
